"version";"spl";"achieved_best_perf"
"Rank-based Approach";"BerkeleyDBC";22.9777256740914
"Rank-based Approach";"7z";68.6941826075555
"Rank-based Approach";"VP9";1.19907962536864
"Rank-based Approach";"BerkeleyDBC";11.410707307542
"Rank-based Approach";"7z";33.545069129795
"Rank-based Approach";"VP9";3.47084940208057
"Rank-based Approach";"BerkeleyDBC";42.0476748729973
"Rank-based Approach";"7z";94.2394265650723
"Rank-based Approach";"VP9";20.7542627512164
"Rank-based Approach";"BerkeleyDBC";54.5134818288394
"Rank-based Approach";"7z";22.7348883287927
"Rank-based Approach";"VP9";25.7116931096903
"Rank-based Approach";"BerkeleyDBC";32.9425556858148
"Rank-based Approach";"7z";1.17571642943516
"Rank-based Approach";"VP9";19.4912939411757
"Rank-based Approach";"BerkeleyDBC";42.4775302852677
"Rank-based Approach";"7z";38.6179868587829
"Rank-based Approach";"VP9";29.8751383108255
"Rank-based Approach";"BerkeleyDBC";52.442360296991
"Rank-based Approach";"7z";75.5445155086758
"Rank-based Approach";"VP9";16.115815350997
"Rank-based Approach";"BerkeleyDBC";9.65220789370848
"Rank-based Approach";"7z";20.223196724894
"Rank-based Approach";"VP9";28.9404117611656
"Rank-based Approach";"BerkeleyDBC";26.0648690894881
"Rank-based Approach";"7z";23.33658707149
"Rank-based Approach";"VP9";56.5757248876152
"Rank-based Approach";"BerkeleyDBC";62.9933567799922
"Rank-based Approach";"7z";39.543116886901
"Rank-based Approach";"VP9";8.67550312732929
"Rank-based Approach";"BerkeleyDBC";35.9906213364596
"Rank-based Approach";"7z";36.946925217442
"Rank-based Approach";"VP9";22.254269695693
"Rank-based Approach";"BerkeleyDBC";40.9144196951934
"Rank-based Approach";"7z";59.0305802823468
"Rank-based Approach";"VP9";2.4731595979611
"Rank-based Approach";"BerkeleyDBC";22.6260257913247
"Rank-based Approach";"7z";5.55952155480121
"Rank-based Approach";"VP9";55.9724813540803
"Rank-based Approach";"BerkeleyDBC";24.5017584994138
"Rank-based Approach";"7z";3.22994216116202
"Rank-based Approach";"VP9";2.0435279792962
"Rank-based Approach";"BerkeleyDBC";41.2270418132083
"Rank-based Approach";"7z";48.5103221200775
"Rank-based Approach";"VP9";5.79539720091297
"Rank-based Approach";"BerkeleyDBC";56.5455255959359
"Rank-based Approach";"7z";10.9718964437128
"Rank-based Approach";"VP9";20.6139843240015
"Rank-based Approach";"BerkeleyDBC";0.937866354044549
"Rank-based Approach";"7z";43.2888008275179
"Rank-based Approach";"VP9";50.3956036833504
"Rank-based Approach";"BerkeleyDBC";44.3532629933568
"Rank-based Approach";"7z";2.06879470854762
"Rank-based Approach";"VP9";66.9572544317335
"Rank-based Approach";"BerkeleyDBC";54.0445486518171
"Rank-based Approach";"7z";48.5103221200775
"Rank-based Approach";"VP9";3.47084940208057
"Rank-based Approach";"BerkeleyDBC";27.8624462680735
"Rank-based Approach";"7z";14.6170544442664
"Rank-based Approach";"VP9";14.9579396200908
"Rank-based Approach";"BerkeleyDBC";35.1699882766706
"Rank-based Approach";"7z";88.9771121374146
"Rank-based Approach";"VP9";9.04865300302316
"Rank-based Approach";"BerkeleyDBC";28.0578350918327
"Rank-based Approach";"7z";47.3375194860065
"Rank-based Approach";"VP9";0.264353075708684
"Rank-based Approach";"BerkeleyDBC";23.0558812035952
"Rank-based Approach";"7z";31.4150847186002
"Rank-based Approach";"VP9";26.5408636151093
"Rank-based Approach";"BerkeleyDBC";18.4056271981243
"Rank-based Approach";"7z";53.1782222934483
"Rank-based Approach";"VP9";0.506946791420331
"Rank-based Approach";"BerkeleyDBC";36.3423212192263
"Rank-based Approach";"7z";4.2060636081528
"Rank-based Approach";"VP9";4.00048148371057
"Rank-based Approach";"BerkeleyDBC";5.82258694802657
"Rank-based Approach";"7z";26.7049345124492
"Rank-based Approach";"VP9";8.47457627118644
"Rank-based Approach";"BerkeleyDBC";20.5549042594764
"Rank-based Approach";"7z";52.5736097553869
"Rank-based Approach";"VP9";5.79539720091297
"Rank-based Approach";"BerkeleyDBC";42.6338413442751
"Rank-based Approach";"7z";16.397383411763
"Rank-based Approach";"VP9";6.10697271746628
"Rank-based Approach";"BerkeleyDBC";44.1578741695975
"Rank-based Approach";"7z";7.98088550241117
"Rank-based Approach";"VP9";35.7399802776865
"Rank-based Approach";"BerkeleyDBC";26.9245799140289
"Rank-based Approach";"7z";45.7189061612203
"Rank-based Approach";"VP9";5.41808063926222
"Rank-based Approach";"BerkeleyDBC";18.0148495506057
"Rank-based Approach";"7z";56.2828712539518
"Rank-based Approach";"VP9";2.0435279792962
"Rank-based Approach";"BerkeleyDBC";21.4536928487691
"Rank-based Approach";"7z";29.5342298110404
"Rank-based Approach";"VP9";2.95186551789592
"Rank-based Approach";"BerkeleyDBC";3.00898788589293
"Rank-based Approach";"7z";66.5831378662277
"Rank-based Approach";"VP9";2.0435279792962
"Rank-based Approach";"BerkeleyDBC";26.1430246189918
"Rank-based Approach";"7z";36.3452264747447
"Rank-based Approach";"VP9";5.88799022217695
"Rank-based Approach";"BerkeleyDBC";3.55607659241891
"Rank-based Approach";"7z";13.9264849429625
"Rank-based Approach";"VP9";13.0306158824809
"Rank-based Approach";"BerkeleyDBC";9.41774130519734
"Rank-based Approach";"7z";44.2168446510002
"Rank-based Approach";"VP9";6.10697271746628
"Rank-based Approach";"BerkeleyDBC";18.2493161391168
"Rank-based Approach";"7z";11.3317501711855
"Rank-based Approach";"VP9";31.5344052518762
"Rank-based Approach";"BerkeleyDBC";40.2891754591637
"Rank-based Approach";"7z";18.4268418828946
"Rank-based Approach";"VP9";0.102315288496706
"Rank-based Approach";"BerkeleyDBC";36.5377100429855
"Rank-based Approach";"7z";37.3941928058392
"Rank-based Approach";"VP9";31.4144972893393
"Rank-based Approach";"BerkeleyDBC";43.2981633450567
"Rank-based Approach";"7z";24.2369498390128
"Rank-based Approach";"VP9";2.0435279792962
"Rank-based Approach";"BerkeleyDBC";29.1520125048847
"Rank-based Approach";"7z";38.8729439531462
"Rank-based Approach";"VP9";0.821300098611568
"Rank-based Approach";"BerkeleyDBC";44.1969519343494
"Rank-based Approach";"7z";7.65891111467242
"Rank-based Approach";"VP9";76.4966504474558
"Rank-based Approach";"BerkeleyDBC";2.57913247362251
"Rank-based Approach";"7z";35.0966651612057
"Rank-based Approach";"VP9";42.4863078069806
"Rank-based Approach";"BerkeleyDBC";46.9714732317311
"Rank-based Approach";"7z";0.932414516528504
"Rank-based Approach";"VP9";21.5491738387678
"Rank-based Approach";"BerkeleyDBC";33.0597889800703
"Rank-based Approach";"7z";2.78121767508268
"Rank-based Approach";"VP9";4.00048148371057
"Rank-based Approach";"BerkeleyDBC";54.5134818288394
"Rank-based Approach";"7z";79.5320444645173
"Rank-based Approach";"VP9";8.77828138093232
"Rank-based Approach";"BerkeleyDBC";23.7592809691286
"Rank-based Approach";"7z";93.7047451157505
"Rank-based Approach";"VP9";17.5398960180371
"Rank-based Approach";"BerkeleyDBC";6.3305978898007
"Rank-based Approach";"7z";34.6741648334038
"Rank-based Approach";"VP9";2.95186551789592
"Rank-based Approach";"BerkeleyDBC";23.6029699101211
"Rank-based Approach";"7z";2.06879470854762
"Rank-based Approach";"VP9";44.3858536382113
"Rank-based Approach";"BerkeleyDBC";34.779210629152
"Rank-based Approach";"7z";48.8177275309955
"Rank-based Approach";"VP9";6.17826934383955
"Rank-based Approach";"BerkeleyDBC";34.7010550996483
"Rank-based Approach";"7z";21.607249522866
"Rank-based Approach";"VP9";4.92641169635045
"Rank-based Approach";"BerkeleyDBC";15.2794060179758
"Rank-based Approach";"7z";37.9230466644328
"Rank-based Approach";"VP9";56.835911277367
"Rank-based Approach";"BerkeleyDBC";87.9640484564283
"Rank-based Approach";"7z";4.2060636081528
"Rank-based Approach";"VP9";1.60648891893018
"Rank-based Approach";"BerkeleyDBC";53.6146932395467
"Rank-based Approach";"7z";17.2700651233264
"Rank-based Approach";"VP9";8.16624151037736
"Rank-based Approach";"BerkeleyDBC";27.2372020320438
"Rank-based Approach";"7z";29.5342298110404
"Rank-based Approach";"VP9";50.7428275130903
"Rank-based Approach";"BerkeleyDBC";54.2790152403283
"Rank-based Approach";"7z";18.818747359373
"Rank-based Approach";"VP9";10.2819920462595
"Rank-based Approach";"BerkeleyDBC";9.57405236420477
"Rank-based Approach";"7z";36.0013986217748
"Rank-based Approach";"VP9";80.4036129796897
"Rank-based Approach";"BerkeleyDBC";28.4095349745995
"Rank-based Approach";"7z";27.1653141799851
"Rank-based Approach";"VP9";5.21993157375729
"Rank-based Approach";"BerkeleyDBC";24.736225087925
"Rank-based Approach";"7z";15.6106586634421
"Rank-based Approach";"VP9";0.821300098611568
"Rank-based Approach";"BerkeleyDBC";30.0898788589293
"Rank-based Approach";"7z";21.8855169801425
"Rank-based Approach";"VP9";20.0537965453544
"Rank-based Approach";"BerkeleyDBC";35.052754982415
"Rank-based Approach";"7z";59.0305802823468
"Rank-based Approach";"VP9";29.8751383108255
"Rank-based Approach";"BerkeleyDBC";31.4966783899961
"Rank-based Approach";"7z";41.9571963461006
"Rank-based Approach";"VP9";2.0435279792962
"Rank-based Approach";"BerkeleyDBC";14.1461508401719
"Rank-based Approach";"7z";62.9802298984542
"Rank-based Approach";"VP9";32.1691304126408
"Rank-based Approach";"BerkeleyDBC";9.18327471668621
"Rank-based Approach";"7z";12.2685353807602
"Rank-based Approach";"VP9";11.9736665447525
"Rank-based Approach";"BerkeleyDBC";38.5697538100821
"Rank-based Approach";"7z";21.2779906467169
"Rank-based Approach";"VP9";2.4731595979611
"Rank-based Approach";"BerkeleyDBC";0.390777647518562
"Rank-based Approach";"7z";53.5468174070135
"Rank-based Approach";"VP9";10.6648641891861
"Rank-based Approach";"BerkeleyDBC";23.2903477921063
"Rank-based Approach";"7z";3.22994216116202
"Rank-based Approach";"VP9";16.4829466803087
"Rank-based Approach";"BerkeleyDBC";40.21101992966
"Rank-based Approach";"7z";49.1397019187342
"Rank-based Approach";"VP9";66.6577160079445
"Rank-based Approach";"BerkeleyDBC";5.78350918327472
"Rank-based Approach";"7z";9.97974912221915
"Rank-based Approach";"VP9";1.19907962536864
"Rank-based Approach";"BerkeleyDBC";1.28956623681125
"Rank-based Approach";"7z";21.2779906467169
"Rank-based Approach";"VP9";38.2413807471331
"Rank-based Approach";"BerkeleyDBC";14.0289175459164
"Rank-based Approach";"7z";21.3450079400924
"Rank-based Approach";"VP9";11.2852374316548
"Rank-based Approach";"BerkeleyDBC";66.7057444314185
"Rank-based Approach";"7z";32.5718614781684
"Rank-based Approach";"VP9";7.0083657794712
"Rank-based Approach";"BerkeleyDBC";18.8354826103947
"Rank-based Approach";"7z";43.1649645245414
"Rank-based Approach";"VP9";42.2548252538206
"Rank-based Approach";"BerkeleyDBC";23.8374364986323
"Rank-based Approach";"7z";55.5238275615904
"Rank-based Approach";"VP9";30.7519942221955
"Rank-based Approach";"BerkeleyDBC";9.96483001172333
"Rank-based Approach";"7z";18.4268418828946
"Rank-based Approach";"VP9";1.19907962536864
"Rank-based Approach";"BerkeleyDBC";50.1758499413834
"Rank-based Approach";"7z";30.6458427424642
"Rank-based Approach";"VP9";1.60648891893018
"Rank-based Approach";"BerkeleyDBC";37.1629542790152
"Rank-based Approach";"7z";30.2787045265811
"Rank-based Approach";"VP9";5.68150778475826
"Rank-based Approach";"BerkeleyDBC";50.4884720593982
"Rank-based Approach";"7z";92.6863736359795
"Rank-based Approach";"VP9";4.50140972874874
"Rank-based Approach";"BerkeleyDBC";17.2332942555686
"Rank-based Approach";"7z";72.8346858200149
"Rank-based Approach";"VP9";19.258885457803
"Rank-based Approach";"BerkeleyDBC";7.34661977334896
"Rank-based Approach";"7z";9.73499031163041
"Rank-based Approach";"VP9";30.4681966120214
"Rank-based Approach";"BerkeleyDBC";30.2071121531848
"Rank-based Approach";"7z";33.545069129795
"Rank-based Approach";"VP9";20.7542627512164
"Rank-based Approach";"BerkeleyDBC";1.13325517780383
"Rank-based Approach";"7z";41.8697824851761
"Rank-based Approach";"VP9";1.19907962536864
"Rank-based Approach";"BerkeleyDBC";5.66627588901915
"Rank-based Approach";"7z";23.33658707149
"Rank-based Approach";"VP9";19.132958948884
"Rank-based Approach";"BerkeleyDBC";41.4224306369676
"Rank-based Approach";"7z";2.06879470854762
"Rank-based Approach";"VP9";68.1368895226367
"Rank-based Approach";"BerkeleyDBC";39.0386869871043
"Rank-based Approach";"7z";24.7468640277393
"Rank-based Approach";"VP9";79.3753674785531
"Rank-based Approach";"BerkeleyDBC";8.01094177413052
"Rank-based Approach";"7z";12.5132941913489
"Rank-based Approach";"VP9";53.0340418242677
"Rank-based Approach";"BerkeleyDBC";23.4857366158656
"Rank-based Approach";"7z";9.97974912221915
"Rank-based Approach";"VP9";8.05374098954162
"Rank-based Approach";"BerkeleyDBC";31.3794450957405
"Rank-based Approach";"7z";72.0669007415609
"Rank-based Approach";"VP9";10.1935657109524
"Rank-based Approach";"BerkeleyDBC";18.9917936694021
"Rank-based Approach";"7z";64.8261192616443
"Rank-based Approach";"VP9";1.60648891893018
"Rank-based Approach";"BerkeleyDBC";32.8253223915592
"Rank-based Approach";"7z";55.6491207622489
"Rank-based Approach";"VP9";26.7941055282663
"Rank-based Approach";"BerkeleyDBC";23.1731144978507
"Rank-based Approach";"7z";18.6380920467956
"Rank-based Approach";"VP9";2.4731595979611
"Rank-based Approach";"BerkeleyDBC";19.1090269636577
"Rank-based Approach";"7z";4.2060636081528
"Rank-based Approach";"VP9";13.0306158824809
"Rank-based Approach";"BerkeleyDBC";33.0988667448222
"Rank-based Approach";"7z";48.6909774326549
"Rank-based Approach";"VP9";28.5177246190955
"Rank-based Approach";"BerkeleyDBC";25.8694802657288
"Rank-based Approach";"7z";44.8010606215125
"Rank-based Approach";"VP9";53.969231339034
"Rank-based Approach";"BerkeleyDBC";10.6682297772567
"Rank-based Approach";"7z";24.2369498390128
"Rank-based Approach";"VP9";59.7771285978176
"Rank-based Approach";"BerkeleyDBC";19.4607268464244
"Rank-based Approach";"7z";42.7657745596527
"Rank-based Approach";"VP9";2.4731595979611
"Rank-based Approach";"BerkeleyDBC";33.9194998046112
"Rank-based Approach";"7z";38.6179868587829
"Rank-based Approach";"VP9";1.19907962536864
"Rank-based Approach";"BerkeleyDBC";0.742477530285268
"Rank-based Approach";"7z";7.18833316336194
"Rank-based Approach";"VP9";0.506946791420331
"Rank-based Approach";"BerkeleyDBC";15.2012504884721
"Rank-based Approach";"7z";76.9649907486997
"Rank-based Approach";"VP9";0.264353075708684
"Rank-based Approach";"BerkeleyDBC";35.0136772176632
"Rank-based Approach";"7z";6.35498768921459
"Rank-based Approach";"VP9";1.19907962536864
